sample_index,t_s,theta_true_deg,theta_mtcn_deg,theta_rkf_deg,abs_error_mtcn_deg,abs_error_rkf_deg,delta_abs_error_deg,rkf_locally_better,evaluation_sample,rkf_better_beyond_tolerance,mtcn_better_beyond_tolerance,near_tie
2578,25.78,3.2333783796296247,4.8993442418018,2.756499176026851,1.6659658621721753,0.4768792036027736,-1.1890866585694018,1,1,1,0,0
2579,25.79,3.2110891898148157,4.8889641888139295,2.7393862399114446,1.6778749989991137,0.47170294990337114,-1.2061720490957426,1,1,1,0,0
2580,25.8,3.188799999999995,4.878584135826066,2.7222733037960314,1.6897841358260708,0.4665266962039638,-1.223257439622107,1,1,1,0,0
2581,25.81,3.166154143518511,4.867599172130796,2.704664631249833,1.701445028612285,0.46148951226867796,-1.2399555163436071,1,1,1,0,0
2582,25.82,3.1435082870370383,4.856614208435526,2.68705595870364,1.7131059213984878,0.4564523283333983,-1.2566535930650895,1,1,1,0,0
2583,25.83,3.120862430555554,4.845629244740256,2.669447286157441,1.7247668141847021,0.4514151443981129,-1.2733516697865892,1,1,1,0,0
2584,25.84,3.0982165740740752,4.8346442810449926,2.6518386136112486,1.7364277069709173,0.44637796046282663,-1.2900497465080907,1,1,1,0,0
2585,25.85,3.075570717592591,4.823659317349723,2.63422994106505,1.7480885997571316,0.4413407765275412,-1.3067478232295904,1,1,1,0,0
2586,25.86,3.052583055555554,4.812044322198896,2.616009432599514,1.759461266643342,0.4365736229560402,-1.3228876436873018,1,1,1,0,0
2587,25.87,3.0295953935185174,4.8004293270480645,2.597788924133978,1.770833933529547,0.43180646938453915,-1.339027464145008,1,1,1,0,0
2588,25.88,3.0066077314814863,4.788814331897237,2.579568415668442,1.7822066004157509,0.42703931581304433,-1.3551672846027065,1,1,1,0,0
2589,25.89,2.9836200694444432,4.777199336746411,2.5613479072029004,1.7935792673019675,0.42227216224154285,-1.3713071050604246,1,1,1,0,0
2590,25.9,2.9606324074074006,4.765584341595578,2.5431273987373593,1.8049519341881775,0.41750500867004137,-1.387446925518136,1,1,1,0,0
2591,25.91,2.937317800925923,4.753537648516725,2.5244105059415487,1.8162198475908022,0.4129072949843744,-1.4033125526064278,1,1,1,0,0
2592,25.92,2.9140031944444393,4.741490955437873,2.5056936131457324,1.8274877609934332,0.408309581298707,-1.4191781796947263,1,1,1,0,0
2593,25.93,2.8906885879629614,4.729444262359019,2.486976720349922,1.8387556743960576,0.40371186761303957,-1.435043806783018,1,1,1,0,0
2594,25.94,2.8673739814814776,4.717397569280165,2.468259827554106,1.8500235877986877,0.3991141539273717,-1.450909433871316,1,1,1,0,0
2595,25.95,2.844059375,4.7053508762013125,2.449542934758295,1.8612915012013125,0.3945164402417052,-1.4667750609596073,1,1,1,0,0
2596,25.96,2.820432685185181,4.692700131901324,2.4302904787639124,1.872267446716143,0.3901422064212685,-1.4821252402948746,1,1,1,0,0
2597,25.97,2.7968059953703737,4.6800493876013425,2.411038022769541,1.8832433922309688,0.38576797260083273,-1.497475419630136,1,1,1,0,0
2598,25.98,2.7731793055555545,4.667398643301354,2.3917855667751584,1.8942193377457994,0.38139373878039606,-1.5128255989654034,1,1,1,0,0
2599,25.99,2.7495526157407357,4.654747899001359,2.3725331107807808,1.9051952832606234,0.37701950495995495,-1.5281757783006684,1,1,1,0,0
2600,26.0,2.725925925925928,4.642097154701378,2.3532806547864036,1.9161712287754495,0.3726452711395245,-1.543525957635925,1,1,1,0,0
2601,26.01,2.7020020138888854,4.628975876951164,2.3336414026550347,1.9269738630622784,0.36836061123385067,-1.5586132518284277,1,1,1,0,0
2602,26.02,2.678078101851854,4.615854599200944,2.314002150523666,1.9377764973490899,0.36407595132818793,-1.573700546020902,1,1,1,0,0
2603,26.03,2.654154189814811,4.602733321450731,2.2943628983922917,1.9485791316359196,0.3597912914225194,-1.5887878402134001,1,1,1,0,0
2604,26.04,2.63023027777778,4.589612043700517,2.2747236462609286,1.9593817659227368,0.35550663151685136,-1.6038751344058855,1,1,1,0,0
2605,26.05,2.606306365740737,4.5764907659502985,2.255084394129554,1.9701844002095616,0.35122197161118285,-1.6189624285983788,1,1,1,0,0
2606,26.06,2.582100092592588,4.562810836553345,2.2350979611177366,1.9807107439607567,0.34700213147485126,-1.6337086124859055,1,1,1,0,0
2607,26.07,2.557893819444444,4.549130907156392,2.215111528105925,1.9912370877119479,0.3427822913385188,-1.648454796373429,1,1,1,0,0
2608,26.08,2.5336875462962887,4.5354509777594325,2.195125095094102,2.001763431463144,0.33856245120218675,-1.663200980260957,1,1,1,0,0
2609,26.09,2.509481273148151,4.521771048362484,2.17513866208229,2.012289775214333,0.33434261106586094,-1.6779471641484722,1,1,1,0,0
2610,26.1,2.4852749999999957,4.508091118965526,2.155152229070473,2.02281611896553,0.3301227709295227,-1.6926933480360074,1,1,1,0,0
2611,26.11,2.4608012268518515,4.493824169581317,2.10725995731336,2.0330229427294655,0.3535412695384914,-1.679481673190974,1,1,1,0,0
2612,26.12,2.436327453703701,4.47955722019711,2.059367685556231,2.043229766493409,0.37695976814747034,-1.6662699983459386,1,1,1,0,0
2613,26.13,2.4118536805555566,4.465290270812902,2.0114754137991184,2.0534365902573457,0.4003782667564382,-1.6530583235009075,1,1,1,0,0
2614,26.14,2.3873799074074062,4.451023321428689,1.963583142041995,2.063643414021283,0.42379676536541133,-1.6398466486558716,1,1,1,0,0
2615,26.15,2.362906134259256,4.436756372044476,1.9156908702848652,2.07385023778522,0.4472152639743907,-1.6266349738108294,1,1,1,0,0
